price,rating,title
19.92,Two,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)
40.11,One,"Layered: Baking, Building, and Styling Spectacular Cakes"
53.9,Two,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)
35.67,Five,Join
22.0,Four,In the Country We Love: My Family Divided
57.36,Five,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine
29.17,Two,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)"
54.63,Three,I am a Hero Omnibus Volume 1
46.03,One,How to Be Miserable: 40 Strategies You Already Use
33.97,One,Her Backup Boyfriend (The Sorensen Family #1)
22.11,Two,"Giant Days, Vol. 2 (Giant Days #5-8)"
29.69,Three,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton
15.97,Four,First and First (Five Boroughs #3)
21.96,One,Fifty Shades Darker (Fifty Shades #2)
54.35,Two,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day
37.97,Two,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master"
51.99,Four,Danganronpa Volume 1
43.29,Three,Crown of Midnight (Throne of Glass #2)
36.72,Four,"Codename Baboushka, Volume 1: The Conclave of Death"
17.08,Four,Camp Midnight
29.14,Five,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle
28.81,Three,Burning
49.46,Two,Bossypants
37.92,Two,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))"
28.09,Two,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)"
30.81,One,Algorithms to Live By: The Computer Science of Human Decisions
42.95,One,A World of Flavor: Your Gluten Free Passport
56.76,Five,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations"
16.64,One,A Murder in Time
55.53,Five,A Flight of Arrows (The Pathfinders #2)
28.13,Four,A Fierce and Subtle Poison
52.37,One,A Court of Thorns and Roses (A Court of Thorns and Roses #1)
54.0,Five,(Un)Qualified: How God Uses Broken People to Do Big Things
21.87,Four,You Are What You Love: The Spiritual Power of Habit
43.3,Four,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)"
21.04,Two,Tuesday Nights in 1980
41.6,Three,Tracing Numbers on a Train
35.07,Three,Throne of Glass (Throne of Glass #1)
59.64,One,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History
52.72,One,Thirteen Reasons Why
58.08,Four,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”
24.12,One,The Wedding Dress
42.15,Four,The Vacationers
12.61,Five,The Third Wave: An Entrepreneur’s Vision of the Future
17.44,Four,The Stranger
33.14,One,The Shadow Hero (The Shadow Hero)
27.37,Four,The Secret (The Secret #1)
51.36,Five,The Regional Office Is Under Attack!
36.0,Two,The Psychopath Test: A Journey Through the Madness Industry
10.65,One,The Project
43.54,Two,The Power of Now: A Guide to Spiritual Enlightenment
38.21,Two,The Omnivore's Dilemma: A Natural History of Four Meals
37.34,Five,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us
44.1,Four,The Murder of Roger Ackroyd (Hercule Poirot #4)
43.29,Three,The Mistake (Off-Campus #2)
55.85,One,The Matchmaker's Playbook (Wingmen Inc. #1)
37.6,Two,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking
10.97,One,The Long Shadow of Small Ghosts: Murder and Memory in an American City
41.82,Four,The Kite Runner
36.95,One,The House by the Lake
44.28,One,The Glittering Court (The Glittering Court #1)
55.02,Two,The Girl on the Train
17.24,One,The Genius of Birds
23.15,Two,The Emerald Mystery
41.25,One,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First
32.0,Three,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.
38.49,Five,The Artist's Way: A Spiritual Path to Higher Creativity
33.34,Five,The Art of War
10.93,Two,The Argonauts
27.55,Three,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job
55.99,Two,Suddenly in Love (Lake Haven #1)
16.24,Four,Something More Than This
26.12,Two,Soft Apocalypse
12.23,Two,So You've Been Publicly Shamed
23.99,Two,Shoe Dog: A Memoir by the Creator of NIKE
29.06,Three,"Shobu Samurai, Project Aryoku (#3)"
20.27,One,Secrets and Lace (Fatal Hearts #1)
43.55,Five,Scarlett Epstein Hates It Here
36.94,One,Romero and Juliet: A Tragic Tale of Love and Zombies
20.47,Five,Redeeming Love
41.06,One,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form
14.19,Four,Poems That Make Grown Women Cry
38.28,One,"Nightingale, Sing"
41.05,One,Night Sky with Exit Wounds
30.25,Five,Mrs. Houdini
28.26,Five,Modern Romance
10.76,One,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1)
16.85,Two,Louisa: The Extraordinary Life of Mrs. Adams
13.47,Three,Little Red
48.56,Five,Library of Souls (Miss Peregrine’s Peculiar Children #3)
19.15,Two,Large Print Heart of the Pride
57.36,Four,I Had a Nice Time And Other Lies...: How to find love & sh*t like that
42.98,One,Hollow City (Miss Peregrine’s Peculiar Children #2)
22.16,Two,Grumbles
49.43,Four,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond
29.99,Five,Frostbite (Vampire Academy #2)
21.36,One,Follow You Home
29.0,One,First Steps for New Christians (Print Edition)
53.53,Five,Finders Keepers (Bill Hodges Trilogy #2)
41.62,Four,"Fables, Vol. 1: Legends in Exile (Fables #1)"
54.59,Four,Eureka Trivia 6.0
34.95,Four,Drive: The Surprising Truth About What Motivates Us
37.72,Five,Done Rubbed Out (Reightman & Bailey #1)
35.61,Three,Doing It Over (Most Likely To #1)
42.16,Three,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals"
19.19,Five,Dark Notes
19.43,Three,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
49.46,Four,Close to You
37.8,Two,Chasing Heaven: What Dying Taught Me About Living
30.8,Three,Big Magic: Creative Living Beyond Fear
27.43,Two,Becoming Wise: An Inquiry into the Mystery and Art of Living
11.11,Two,Beauty Restored (Riley Family Legacy Novellas #3)
36.5,Two,Batman: The Long Halloween (Batman)
15.38,Five,Batman: The Dark Knight Returns (Batman)
15.48,Two,Ayumi's Violin
46.82,Four,Anonymous
18.46,Three,Amy Meets the Saints and Sages
36.58,One,Amid the Chaos
50.54,Five,Amatus
12.51,Five,Agnostic: A Spirited Manifesto
24.7,Three,Zealot: The Life and Times of Jesus of Nazareth
43.61,Five,You (You #1)
37.34,Four,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)"
14.36,Two,Wild Swans
52.65,Four,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond
38.2,Four,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity
19.6,Two,What's It Like in Space?: Stories from Astronauts Who've Been There
53.9,One,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)"
12.96,Five,Walt Disney's Alice in Wonderland
37.1,Four,V for Vendetta (V for Vendetta Complete)
46.31,Two,Until Friday Night (The Field Party #1)
45.95,Two,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
22.08,Two,Twenty Yawns
25.38,Two,Through the Woods
27.12,Two,This Is Where It Ends
43.04,Two,The Year of Magical Thinking
56.8,Four,The Wright Brothers
25.91,Five,The White Queen (The Cousins' War #1)
32.61,Three,The Wedding Pact (The O'Malleys #2)
27.88,Five,The Time Keeper
52.67,Four,The Testament of Mary
46.02,Five,The Star-Touched Queen
44.48,Five,The Songs of the Gods
37.4,Five,The Song of Achilles
54.04,One,The Rosie Project (Don Tillman #1)
16.88,Three,The Power of Habit: Why We Do What We Do in Life and Business
28.08,Four,The Marriage of Opposites
10.4,One,The Lucifer Effect: Understanding How Good People Turn Evil
44.07,One,The Long Haul (Diary of a Wimpy Kid #9)
23.4,One,The Loney
17.43,Three,The Literature Book (Big Ideas Simply Explained)
54.21,Two,The Last Mile (Amos Decker #2)
40.67,Two,The Immortal Life of Henrietta Lacks
52.26,Two,The Hidden Oracle (The Trials of Apollo #1)
28.77,Three,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth
13.82,Two,The Guilty (Will Robie #4)
25.85,Three,The First Hostage (J.B. Collins #2)
48.78,One,The Dovekeepers
35.35,Five,The Darkest Lie
44.73,Four,The Bane Chronicles (The Bane Chronicles #1-11)
15.77,One,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts
39.24,One,The 14th Colony (Cotton Malone #11)
13.92,One,That Darkness (Gardiner and Renner #1)
10.69,One,Tastes Like Fear (DI Marnie Rome #3)
45.21,Three,Take Me with You
45.58,One,Swell: A Year of Waves
11.89,Five,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)
26.41,Three,Still Life with Bread Crumbs
39.5,Five,Steve Jobs
44.74,Four,Sorting the Beef from the Bull: The Science of Food Fraud Forensics
52.79,Five,Someone Like You (The Harrisons #2)
35.43,Four,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)"
55.84,Four,Shtum
48.87,Three,See America: A Celebration of Our National Parks & Treasured Sites
46.78,Four,salt.
47.82,Three,Robin War
25.48,Two,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)"
23.57,Three,Rain Fish
50.89,Five,"Quarter Life Poetry: Poems for the Young, Broke and Hangry"
10.56,Three,Pet Sematary
52.15,Three,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress"
18.28,Two,Once Was a Time
11.83,Five,Old School (Diary of a Wimpy Kid #10)
21.95,Two,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon
38.39,Two,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)"
41.56,One,My Name Is Lucy Barton
24.48,Three,My Mrs. Brown
40.36,One,My Kind of Crazy
28.9,One,Mr. Mercedes (Bill Hodges Trilogy #1)
37.61,Two,More Than Music (Chasing the Dream #1)
38.85,Five,Made to Stick: Why Some Ideas Survive and Others Die
53.95,Three,Luis Paints the World
49.83,Three,Luckiest Girl Alive
51.51,Two,Lowriders to the Center of the Earth (Lowriders in Space #2)
18.03,One,Love Is a Mix Tape (Music #1)
29.14,Five,Looking for Lovely: Collecting the Moments that Matter
46.91,Four,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments"
26.79,Five,Let It Out: A Journey Through Journaling
16.28,Five,Lady Midnight (The Dark Artifices #1)
19.55,One,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes"
29.65,One,Island of Dragons (Unwanteds #7)
25.98,Four,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction
10.6,Four,I Am Pilgrim (Pilgrim #1)
14.75,Five,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
47.02,Three,"Hush, Hush (Hush, Hush #1)"
28.82,One,Hold Your Breath (Search and Rescue #1)
58.79,Three,Hamilton: The Revolution
10.23,Five,Greek Mythic History
30.03,Five,God: The Most Unpleasant Character in All Fiction
45.84,Three,Glory over Everything: Beyond The Kitchen House
49.05,Three,Feathers: Displays of Brilliant Plumage
15.06,Four,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years"
46.47,Three,Every Last Word
27.09,Three,Eligible (The Austen Project #4)
57.62,Five,El Deafo
14.39,Four,Eight Hundred Grapes
51.75,Five,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life"
54.07,Two,"Eat Fat, Get Thin"
55.35,One,Don't Get Caught
40.12,Two,Doctor Sleep (The Shining #2)
37.51,Five,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3)
11.21,Five,Dear Mr. Knightley
36.58,One,Daily Fantasy Sports
47.72,Two,Crazy Love: Overwhelmed by a Relentless God
25.01,Three,Cometh the Hour (The Clifton Chronicles #6)
22.13,Four,Code Name Verity (Code Name Verity #1)
44.14,One,Clockwork Angel (The Infernal Devices #1)
56.02,Four,City of Glass (The Mortal Instruments #3)
11.23,Four,City of Fallen Angels (The Mortal Instruments #4)
43.28,One,City of Bones (The Mortal Instruments #1)
47.27,One,City of Ashes (The Mortal Instruments #2)
20.29,Four,Cell
50.83,Three,Catching Jordan (Hundred Oaks)
31.85,Three,"Carry On, Warrior: Thoughts on Life Unarmed"
46.23,Two,Carrie
37.8,Four,Buying In: The Secret Dialogue Between What We Buy and Who We Are
49.32,Five,Brain on Fire: My Month of Madness
32.01,Two,Batman: Europa
28.01,One,Barefoot Contessa Back to Basics
50.62,Five,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again
17.03,Three,Balloon Animals
48.8,Three,Art Ops Vol. 1
58.14,Four,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)
34.2,Two,Angels Walking (Angels Walking #1)
51.48,Three,Angels & Demons (Robert Langdon #1)
29.87,Five,All the Light We Cannot See
10.9,Two,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection"
56.37,Five,Abstract City
48.35,Five,A Time of Torment (Charlie Parker #14)
16.73,Two,A Study in Scarlet (Sherlock Holmes #1)
56.48,Two,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer"
40.79,Two,A People's History of the United States
39.72,One,A Man Called Ove
14.58,Three,A Distant Mirror: The Calamitous 14th Century
55.51,One,A Brush of Wings (Angels Walking #3)
21.8,Three,1491: New Revelations of the Americas Before Columbus
13.33,Three,"The Three Searches, Meaning, and the Story"
38.73,One,Searching for Meaning in Gailana
37.86,Four,Rook
11.53,Two,My Kitchen Year: 136 Recipes That Saved My Life
27.06,One,13 Hours: The Inside Account of What Really Happened In Benghazi
13.86,Three,Will You Won't You Want Me?
37.55,One,Tipping Point for Planet Earth: How Close Are We to the Edge?
46.29,Five,The Silent Sister (Riley MacPherson #1)
26.2,One,The Midnight Watch: A Novel of the Titanic and the Californian
33.26,Two,The Lonely City: Adventures in the Art of Being Alone
59.15,Four,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore
39.43,One,The Golden Condom: And Other Essays on Love Lost and Found
14.44,Five,The Epidemic (The Program 0.6)
56.54,Two,The Dinner Party
59.9,Three,The Diary of a Young Girl
11.88,Three,The Children
48.05,Two,Stars Above (The Lunar Chronicles #4.5)
21.21,Three,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas
49.67,Four,Raspberry Pi Electronics Projects for the Evil Genius
43.14,One,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two
36.97,Five,Psycho: Sanitarium (Psycho #1.5)
26.8,Three,Poisonous (Max Revere Novels #3)
15.71,Four,One with You (Crossfire #5)
54.65,Four,No Love Allowed (Dodge Cove #1)
54.36,Four,Murder at the 42nd Street Library (Raymond Ambler #1)
35.28,Three,Most Wanted
20.55,Two,"Love, Lies and Spies"
58.32,Five,How to Speak Golf: An Illustrated Guide to Links Lingo
11.84,One,Hide Away (Eve Duncan #20)
41.46,Four,Furiously Happy: A Funny Book About Horrible Things
20.1,Five,Everyday Italian: 125 Simple and Delicious Recipes
56.86,One,Equal Is Unfair: America's Misguided Fight Against Income Inequality
56.51,Five,Eleanor & Park
40.83,Four,Dirty (Dive Bar #1)
48.64,One,Can You Keep a Secret? (Fear Street Relaunch #4)
59.48,Three,Boar Island (Anna Pigeon #19)
39.01,Four,A Paris Apartment
38.77,One,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More"
48.39,Two,Troublemaker: Surviving Hollywood and Scientology
27.26,Two,The Widow
11.68,Four,"The Sleep Revolution: Transforming Your Life, One Night at a Time"
59.45,One,The Improbability of Love
21.0,Three,The Art of Startup Fundraising
53.98,Three,Take Me Home Tonight (Rock Star Romance #3)
48.74,One,Sleeping Giants (Themis Files #1)
21.15,Two,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena"
13.71,Three,Playing with Fire
47.67,Three,Off the Hook (Fishing for Trouble #1)
13.34,Two,Mothering Sunday
16.89,Five,"Mother, Can You Not?"
27.18,One,M Train
17.28,Two,Lilac Girls
45.14,One,Lies and Other Acts of Love
40.85,One,Lab Girl
20.46,Four,Keep Me Posted
56.27,Three,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle
48.49,Four,Grey (Fifty Shades #4)
51.34,Four,"Exit, Pursued by a Bear"
16.34,Three,Daredevils
20.5,Three,Cravings: Recipes for What You Want to Eat
21.59,Five,Born for This: How to Find the Work You Were Meant to Do
21.36,Four,Arena
20.88,Five,Adultery
19.53,Three,A Mother's Reckoning: Living in the Aftermath of Tragedy
14.75,Five,A Gentleman's Position (Society of Gentlemen #3)
48.48,Three,11/22/63
24.57,Two,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works"
49.71,Five,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!
48.27,Five,Without Shame
58.05,Four,Watchmen
58.87,Four,Unlimited Intuition Now
11.82,Two,Underlying Notes
28.03,One,The Shack
44.05,Five,The New Brand You: Your New Image Makes the Sale for You
12.34,Four,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York"
16.68,Two,The Flowers Lied
55.91,One,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality"
24.57,Three,The Book of Mormon
52.98,Five,The Art and Science of Low Carbohydrate Living
54.4,One,The Alien Club
54.81,Five,Suzie Snowflake: One beautiful flake (a self-esteem story)
25.08,One,Nap-a-Roo
10.41,Four,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond"
47.44,Two,Modern Day Fables
20.91,One,If I Gave You God's Phone Number....: Searching for Spirituality in America
33.95,Four,"Fruits Basket, Vol. 9 (Fruits Basket #9)"
43.68,Three,Dress Your Family in Corduroy and Denim
33.23,One,Don't Forget Steven
35.92,Two,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster
48.63,Four,Art and Fear: Observations on the Perils (and Rewards) of Artmaking
56.63,Three,A Shard of Ice (The Black Symphony Saga #1)
50.49,Three,A Hero's Curse (The Unseen Chronicles #1)
35.79,Two,23 Degrees South: A Tropical Tale of Changing Whether...
34.06,Three,"Zero to One: Notes on Startups, or How to Build the Future"
17.76,One,Why Not Me?
39.36,Two,When Breath Becomes Air
36.94,Two,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel
43.62,Five,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1)
43.02,Three,The New Drawing on the Right Side of the Brain
28.45,Four,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer"
41.39,Two,The Martian (The Martian #1)
51.15,One,The High Mountains of Portugal
35.88,One,The Grownup
36.91,One,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It
28.93,One,South of Sunshine
38.89,Five,Smarter Faster Better: The Secrets of Being Productive in Life and Business
58.33,Three,Silence in the Dark (Logan Point #4)
39.67,Five,Shadows of the Past (Logan Point #1)
14.1,Five,Roller Girl
21.82,Three,Rising Strong
54.21,One,Proofs of God: Classical Arguments from Tertullian to Barth
31.19,Four,Please Kill Me: The Uncensored Oral History of Punk
53.64,Five,Out of Print: City Lights Spotlight No. 14
36.39,Five,My Life Next Door (My Life Next Door )
58.54,Two,Miller's Valley
29.48,Three,Man's Search for Meaning
25.06,Two,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations"
12.55,Three,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want
29.04,Five,Les Fleurs du Mal
40.72,Two,Left Behind (Left Behind #1)
45.05,Five,Kill 'Em and Leave: Searching for James Brown and the American Soul
47.13,One,Kierkegaard: A Christian Missionary to Christians
20.22,Four,John Vassos: Industrial Design for Modern Life
56.48,One,I'll Give You the Sun
44.21,One,I Will Find You
21.96,Four,Hystopia: A Novel
40.45,Two,Howl and Other Poems
10.29,Four,History of Beauty
52.86,Two,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
55.65,Five,Future Shock (Future Shock #1)
43.64,One,Ender's Game (The Ender Quintet #1)
28.41,One,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World
37.51,Four,Death by Leisure: A Cautionary Tale
11.45,Three,Brilliant Beacons: A History of the American Lighthouse
19.22,Two,Brazen: The Courage to Find the You That's Been Hiding
56.91,Four,Between the World and Me
55.06,Four,Being Mortal: Medicine and What Matters in the End
13.2,Three,"A Murder Over a Girl: Justice, Gender, Junior High"
53.63,Two,32 Yolks
44.48,Five,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination"
12.08,Three,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life
22.14,Two,Wildlife of New York: A Five-Borough Coloring Book
25.37,Five,What Happened on Beale Street (Secrets of the South Mysteries #2)
46.33,Two,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain
37.33,Three,Under the Tuscan Sun
25.55,One,Toddlers Are A**holes: It's Not Your Fault
34.72,One,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible
35.96,Four,The Whale
41.14,Four,The Story of Art
10.01,Four,The Origin of Species
36.05,Four,The Great Gatsby
49.03,Three,The Good Girl
16.24,One,The Glass Castle
39.55,One,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist
35.67,Three,The Drowning Girls
16.62,Three,The Constant Princess (The Tudor Court #1)
42.78,Four,The Bourne Identity (Jason Bourne #1)
52.3,Five,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)
32.34,Two,The Art Book
